,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
234,The Bridges of Madison County,1995,PG-13,112579,135,"Drama, Romance",66.0,7.6,71992,71.52
235,Groundhog Day,1993,PG,107048,101,"Comedy, Fantasy, Romance",72.0,8.0,572776,70.91
236,All the President's Men,1976,PG,74119,138,"Biography, Drama, History",84.0,8.0,101046,70.60
237,V for Vendetta,2005,R,434409,132,"Action, Drama, Sci-Fi",62.0,8.2,1019599,70.51
238,JFK,1991,R,102138,189,"Drama, History, Thriller",72.0,8.0,140090,70.41
239,The Big Short,2015,R,1596363,130,"Biography, Comedy, Drama",81.0,7.8,354069,70.26
240,Ferris Bueller's Day Off,1986,PG-13,91042,103,Comedy,61.0,7.8,317613,70.14
241,Kill Bill: Vol. 1,2003,R,266697,111,"Action, Crime, Thriller",69.0,8.1,986837,70.10
242,Seven Pounds,2008,PG-13,814314,123,"Drama, Romance",36.0,7.6,284087,69.95
243,Heat,1995,R,113277,170,"Crime, Drama, Thriller",76.0,8.2,568188,67.44
244,Hacksaw Ridge,2016,R,2119532,139,"Biography, Drama, History",71.0,8.1,425393,67.21
245,The Godfather: Part III,1990,R,99674,162,"Crime, Drama",60.0,7.6,353531,66.67
246,Big Fish,2003,PG-13,319061,125,"Adventure, Drama, Fantasy",58.0,8.0,411455,66.26
247,Kill Bill: Vol. 2,2004,R,378194,137,"Action, Crime, Thriller",83.0,8.0,674869,66.21
248,Lethal Weapon,1987,R,93409,109,"Action, Crime, Thriller",68.0,7.6,233901,65.21
249,L.A. Confidential,1997,R,119488,138,"Crime, Drama, Mystery",90.0,8.2,525792,64.62
250,Scent of a Woman,1992,R,105323,156,Drama,59.0,8.0,257894,63.90
251,The Fifth Element,1997,PG-13,119116,126,"Action, Adventure, Sci-Fi",52.0,7.7,429113,63.54
252,Patton,1970,GP,66206,172,"Biography, Drama, War",91.0,7.9,93010,61.70
253,Cinderella Man,2005,PG-13,352248,144,"Biography, Drama, History",69.0,8.0,174489,61.65
254,The Goonies,1985,PG,89218,114,"Adventure, Comedy, Family",62.0,7.8,240869,61.50
255,Misery,1990,R,100157,107,"Drama, Thriller",75.0,7.8,181648,61.28
256,Prisoners,2013,R,1392214,153,"Crime, Drama, Mystery",70.0,8.1,589210,61.00
257,Little Miss Sunshine,2006,R,449059,101,"Comedy, Drama",80.0,7.8,435115,59.89
258,Predator,1987,R,93773,107,"Action, Adventure, Sci-Fi",45.0,7.8,367399,59.74
259,Love Actually,2003,R,314331,135,"Comedy, Drama, Romance",55.0,7.6,418402,59.70
260,The Grand Budapest Hotel,2014,R,2278388,99,"Adventure, Comedy, Crime",88.0,8.1,695122,59.10
261,The Butterfly Effect,2004,R,289879,113,"Drama, Sci-Fi, Thriller",30.0,7.6,447182,57.94
262,Life Is Beautiful,1997,PG-13,118799,116,"Comedy, Drama, Romance",59.0,8.6,613006,57.60
263,Boyz n the Hood,1991,R,101507,112,"Crime, Drama",76.0,7.8,123634,57.50
264,Blood Diamond,2006,R,450259,143,"Adventure, Drama, Thriller",64.0,8.0,493393,57.37
265,The Godfather: Part II,1974,R,71562,202,"Crime, Drama",90.0,9.0,1111227,57.30
266,The Blues Brothers,1980,R,80455,133,"Action, Adventure, Comedy",60.0,7.9,180576,57.23
267,12 Monkeys,1995,R,114746,129,"Mystery, Sci-Fi, Thriller",74.0,8.0,572280,57.14
268,2001: A Space Odyssey,1968,G,62622,149,"Adventure, Sci-Fi",84.0,8.3,594448,56.95
269,Midnight in Paris,2011,PG-13,1605783,94,"Comedy, Fantasy, Romance",81.0,7.7,383461,56.82
270,Guess Who's Coming to Dinner,1967,Not Rated,61735,108,"Comedy, Drama",63.0,7.8,38908,56.70
271,12 Years a Slave,2013,R,2024544,134,"Biography, Drama, History",96.0,8.1,630909,56.67
272,Tombstone,1993,R,108358,130,"Action, Biography, Drama",50.0,7.8,124536,56.51
273,Edward Scissorhands,1990,PG-13,99487,105,"Drama, Fantasy, Romance",74.0,7.9,441874,56.36
274,Primal Fear,1996,R,117381,129,"Crime, Drama, Mystery",47.0,7.7,185441,56.12
275,Saw,2004,R,387564,103,"Horror, Mystery",46.0,7.6,375407,56.00
276,Ordinary People,1980,R,81283,124,Drama,86.0,7.7,46292,54.80
277,Crash,2004,R,375679,112,"Crime, Drama, Thriller",66.0,7.7,416862,54.58
278,"Three Billboards Outside Ebbing, Missouri",2017,R,5027774,115,"Comedy, Crime, Drama",88.0,8.2,419468,54.51
279,The Count of Monte Cristo,2002,PG-13,245844,131,"Action, Adventure, Drama",61.0,7.8,127758,54.23
280,The Hateful Eight,2015,R,3460252,168,"Crime, Drama, Mystery",68.0,7.8,505717,54.12
281,The Verdict,1982,R,84855,129,Drama,77.0,7.7,35532,54.00
282,Tenet,2020,PG-13,6723592,150,"Action, Sci-Fi",69.0,7.8,143745,53.80
283,Ying xiong,2002,PG-13,299977,120,"Action, Adventure, History",85.0,7.9,172871,53.71
284,3:10 to Yuma,2007,R,381849,122,"Action, Crime, Drama",76.0,7.7,286036,53.61
285,Parasite,2019,R,6751668,132,"Comedy, Drama, Thriller",96.0,8.6,504816,53.37
286,Papillon,1973,R,70511,151,"Biography, Crime, Drama",58.0,8.0,120396,53.27
287,The Prestige,2006,PG-13,482571,130,"Drama, Mystery, Sci-Fi",66.0,8.5,1169386,53.09
288,Blow,2001,R,221027,124,"Biography, Crime, Drama",52.0,7.6,238260,52.99
289,My Cousin Vinny,1992,R,104952,120,"Comedy, Crime",68.0,7.6,105271,52.93
290,Gandhi,1982,PG,83987,191,"Biography, Drama, History",79.0,8.0,216231,52.77
291,The Royal Tenenbaums,2001,R,265666,110,"Comedy, Drama",76.0,7.6,263312,52.36
292,Stand by Me,1986,R,92005,89,"Adventure, Drama",75.0,8.1,358975,52.29
293,Awakenings,1990,PG-13,99077,121,"Biography, Drama",74.0,7.8,122441,52.10
294,"South Park: Bigger, Longer & Uncut",1999,R,158983,81,"Animation, Comedy, Fantasy",73.0,7.7,190881,52.04
295,Amadeus,1984,R,86879,160,"Biography, Drama, History",88.0,8.3,364447,51.97
296,Lion,2016,PG-13,3741834,118,"Biography, Drama",69.0,8.0,209697,51.74
297,Finding Neverland,2004,PG,308644,106,"Biography, Drama, Family",67.0,7.7,197166,51.68
298,Enemy at the Gates,2001,R,215750,131,"Drama, History, War",53.0,7.6,240583,51.40
299,Goldfinger,1964,PG,58150,110,"Action, Adventure, Thriller",87.0,7.7,170787,51.08
300,Atonement,2007,R,783233,123,"Drama, Mystery, Romance",85.0,7.8,247284,50.93
301,Apocalypto,2006,R,472043,139,"Action, Adventure, Drama",68.0,7.8,288223,50.87
302,The Hurricane,1999,R,174856,146,"Biography, Drama, Sport",74.0,7.6,90665,50.67
303,Dog Day Afternoon,1975,R,72890,125,"Biography, Crime, Drama",86.0,8.0,232811,50.00
304,"Planes, Trains and Automobiles",1987,R,93748,93,"Comedy, Drama",72.0,7.6,120530,49.53
305,Sleepers,1996,R,117665,147,"Crime, Drama, Thriller",49.0,7.6,184910,49.10
306,The Deer Hunter,1978,R,77416,183,"Drama, War",86.0,8.1,307297,48.98
307,The Game,1997,R,119174,129,"Action, Drama, Mystery",61.0,7.8,340078,48.32
308,Malcolm X,1992,PG-13,104797,202,"Biography, Drama, History",73.0,7.7,84372,48.17
309,Kick-Ass,2010,R,1250777,117,"Action, Comedy, Crime",66.0,7.6,520646,48.07
310,Kubo and the Two Strings,2016,PG,4302938,101,"Animation, Action, Adventure",84.0,7.8,116321,48.02
311,Manchester by the Sea,2016,R,4034228,137,Drama,96.0,7.8,242015,47.70
312,First Blood,1982,R,83944,93,"Action, Adventure",61.0,7.7,223478,47.21
313,Halloween,1978,R,77651,91,"Horror, Thriller",87.0,7.8,229923,47.00
314,Sicario,2015,R,3397884,121,"Action, Crime, Drama",82.0,7.6,365140,46.89
315,Goodfellas,1990,R,99685,146,"Biography, Crime, Drama",90.0,8.7,1003223,46.84
316,Full Metal Jacket,1987,R,93058,116,"Drama, War",76.0,8.3,665499,46.36
317,The Breakfast Club,1985,R,88847,97,"Comedy, Drama",66.0,7.8,352912,45.88
318,Manhattan,1979,R,79522,96,"Comedy, Drama, Romance",83.0,7.9,130145,45.70
319,Scarface,1983,R,86250,170,"Crime, Drama",65.0,8.3,729326,45.60
320,"O Brother, Where Art Thou?",2000,PG-13,190590,107,"Adventure, Comedy, Crime",69.0,7.7,281934,45.51
321,Moonrise Kingdom,2012,PG-13,1748122,94,"Comedy, Drama, Romance",84.0,7.8,314644,45.51
322,The Dirty Dozen,1967,Not Rated,61578,150,"Action, Adventure, War",73.0,7.7,66425,45.30
323,28 Days Later...,2002,R,289043,113,"Drama, Horror, Sci-Fi",73.0,7.6,372737,45.06
324,Spotlight,2015,R,1895587,129,"Biography, Crime, Drama",93.0,8.1,412231,45.06
325,The Bridge on the River Kwai,1957,PG,50212,161,"Adventure, Drama, War",87.0,8.1,200850,44.91
326,Lawrence of Arabia,1962,Approved,56172,228,"Adventure, Biography, Drama",100.0,8.3,264280,44.82
327,Midnight Cowboy,1969,R,64665,113,Drama,79.0,7.8,99657,44.79
328,The Artist,2011,PG-13,1655442,100,"Comedy, Drama, Romance",89.0,7.9,228716,44.67
329,Lost in Translation,2003,R,335266,102,"Comedy, Drama",89.0,7.7,408368,44.59
330,The Odd Couple,1968,G,63374,105,Comedy,86.0,7.7,31188,44.53
331,The Shining,1980,R,81505,146,"Drama, Horror",66.0,8.4,883352,44.02
332,The Last Emperor,1987,PG-13,93389,163,"Biography, Drama, History",76.0,7.7,92883,43.98
333,Sense and Sensibility,1995,PG,114388,136,"Drama, Romance",84.0,7.6,100770,43.18
334,Escape from Alcatraz,1979,PG,79116,112,"Action, Biography, Crime",76.0,7.6,119139,43.00
335,Cabaret,1972,PG,68327,124,"Drama, Music, Musical",80.0,7.8,47706,42.77
336,Casino,1995,R,112641,178,"Crime, Drama",73.0,8.2,458605,42.44
337,Birdman or (The Unexpected Virtue of Ignorance),2014,R,2562232,119,"Comedy, Drama",87.0,7.7,572046,42.34
338,Donnie Brasco,1997,R,119008,127,"Biography, Crime, Drama",76.0,7.7,275042,41.91
339,End of Watch,2012,R,1855199,109,"Action, Crime, Drama",68.0,7.6,225920,41.00
340,Falling Down,1993,R,106856,113,"Action, Crime, Drama",56.0,7.6,168242,40.90
341,The Fly,1986,R,91064,96,"Drama, Horror, Sci-Fi",79.0,7.6,157683,40.46
342,Paddington 2,2017,PG,4468740,103,"Adventure, Comedy, Family",88.0,7.8,59138,40.44
343,I Am Sam,2001,PG-13,277027,132,Drama,28.0,7.7,141838,40.31
344,There Will Be Blood,2007,R,469494,158,Drama,93.0,8.2,508817,40.22
345,Hannah and Her Sisters,1986,PG-13,91167,107,"Comedy, Drama",90.0,7.9,66368,40.08
346,The Illusionist,2006,PG-13,443543,110,"Drama, Fantasy, Mystery",68.0,7.6,352299,39.87
347,Annie Hall,1977,PG,75686,93,"Comedy, Romance",92.0,8.0,249766,39.20
348,The Longest Day,1962,G,56197,178,"Action, Drama, History",75.0,7.8,51725,39.10
349,Stardust,2007,PG-13,486655,127,"Adventure, Family, Fantasy",66.0,7.6,252181,38.63
350,Pride & Prejudice,2005,PG,414387,129,"Drama, Romance",82.0,7.8,252788,38.41
351,The Terminator,1984,R,88247,107,"Action, Sci-Fi",84.0,8.0,791718,38.40
352,All That Jazz,1979,R,78754,123,"Drama, Music, Musical",72.0,7.9,27676,37.82
353,Philomena,2013,PG-13,2431286,98,"Biography, Comedy, Drama",77.0,7.6,93383,37.71
354,Pan's Labyrinth,2006,R,457430,118,"Drama, Fantasy, War",98.0,8.2,611947,37.63
355,Fight Club,1999,R,137523,139,Drama,66.0,8.8,1826290,37.03
356,Carlito's Way,1993,R,106519,144,"Crime, Drama, Thriller",65.0,7.9,198440,36.95
357,Rear Window,1954,PG,47396,112,"Mystery, Thriller",100.0,8.4,437521,36.76
358,The Thin Red Line,1998,R,120863,170,"Drama, War",78.0,7.6,170676,36.40
359,Dirty Harry,1971,R,66999,102,"Action, Crime, Thriller",90.0,7.7,141706,35.90
360,The Theory of Everything,2014,PG-13,2980516,123,"Biography, Drama, Romance",72.0,7.7,397018,35.89
361,Shine,1996,PG-13,117631,105,"Biography, Drama, Music",87.0,7.7,50864,35.81
362,Changeling,2008,R,824747,141,"Biography, Crime, Drama",63.0,7.7,236445,35.74
363,Children of Men,2006,R,206634,109,"Adventure, Drama, Sci-Fi",84.0,7.9,460347,35.55
364,Drive,2011,R,780504,100,"Crime, Drama",78.0,7.8,563728,35.06
365,50/50,2011,R,1306980,100,"Comedy, Drama, Romance",72.0,7.6,313395,35.01
366,Midnight Express,1978,R,77928,121,"Biography, Crime, Drama",59.0,7.6,72816,35.00
367,The Killing Fields,1984,R,87553,141,"Biography, Drama, History",76.0,7.8,51001,34.70
368,Dangerous Liaisons,1988,R,94947,119,"Drama, Romance",74.0,7.6,63873,34.70
369,Mississippi Burning,1988,R,95647,128,"Crime, Drama, History",65.0,7.8,86890,34.60
370,Eternal Sunshine of the Spotless Mind,2004,R,338013,108,"Drama, Romance, Sci-Fi",89.0,8.3,899211,34.40
371,Wind River,2017,R,5362988,107,"Crime, Drama, Mystery",73.0,7.7,198321,33.80
372,Planet of the Apes,1968,G,63442,112,"Adventure, Sci-Fi",79.0,8.0,163914,33.40
373,Amélie,2001,R,211915,122,"Comedy, Romance",69.0,8.3,695743,33.23
374,Zodiac,2007,R,443706,157,"Crime, Drama, Mystery",78.0,7.7,453770,33.08
375,Blade Runner,1982,R,83658,117,"Action, Sci-Fi, Thriller",84.0,8.1,684622,32.87
376,The Pianist,2002,R,253474,150,"Biography, Drama, Music",85.0,8.5,716652,32.57
377,Almost Famous,2000,R,181875,122,"Adventure, Comedy, Drama",90.0,7.9,249771,32.53
378,October Sky,1999,PG,132477,108,"Biography, Drama, Family",71.0,7.8,81578,32.48
379,The Sandlot,1993,PG,108037,101,"Comedy, Drama, Family",55.0,7.8,78005,32.42
380,500 Days of Summer,2009,PG-13,1022603,95,"Comedy, Drama, Romance",76.0,7.7,467683,32.39
381,Nightcrawler,2014,R,2872718,117,"Crime, Drama, Thriller",76.0,7.9,455972,32.38
382,Robin Hood,1973,G,70608,83,"Animation, Adventure, Comedy",57.0,7.6,114006,32.06
383,Isle of Dogs,2018,PG-13,5104604,101,"Animation, Adventure, Comedy",82.0,7.9,135352,32.02
384,Psycho,1960,R,54215,109,"Horror, Mystery, Thriller",97.0,8.5,595246,32.00
385,The Outlaw Josey Wales,1976,PG,75029,135,Western,69.0,7.8,64736,31.80
386,Paper Moon,1973,PG,70510,102,"Comedy, Crime, Drama",77.0,8.1,41695,30.93
387,The Princess Bride,1987,PG,93779,98,"Adventure, Family, Fantasy",77.0,8.1,389152,30.86
388,From Here to Eternity,1953,Passed,45793,118,"Drama, Romance, War",85.0,7.6,42809,30.50
389,Snatch,2000,R,208092,102,"Comedy, Crime",55.0,8.3,772689,30.33
390,Being There,1979,PG,78841,130,"Comedy, Drama",83.0,8.0,64778,30.18
391,Spartacus,1960,PG-13,54331,197,"Adventure, Biography, Drama",87.0,7.9,122987,30.00
392,Serpico,1973,R,70666,130,"Biography, Crime, Drama",87.0,7.7,107996,29.80
393,Chinatown,1974,R,71315,130,"Drama, Mystery, Thriller",92.0,8.1,290026,29.20
394,The Last Picture Show,1971,R,67328,118,"Drama, Romance",93.0,8.0,41727,29.13
395,The Insider,1999,R,140352,157,"Biography, Drama, Thriller",84.0,7.8,158088,28.97
396,A Man for All Seasons,1966,G,60665,120,"Biography, Drama, History",72.0,7.7,30844,28.35
397,The Shawshank Redemption,1994,R,111161,142,Drama,80.0,9.3,2304470,28.34
398,Taxi Driver,1976,R,75314,114,"Crime, Drama",94.0,8.3,712127,28.26
399,Do the Right Thing,1989,R,97216,120,"Comedy, Drama",93.0,8.0,87647,27.55
400,Dallas Buyers Club,2013,R,790636,117,"Biography, Drama",80.0,8.0,434443,27.30
401,The Muppet Christmas Carol,1992,G,104940,85,"Comedy, Drama, Family",64.0,7.7,46685,27.28
402,Rush,2013,R,1979320,123,"Action, Biography, Drama",74.0,8.1,426982,26.95
403,Hell or High Water,2016,R,2582782,102,"Action, Crime, Drama",88.0,7.6,200709,26.86
404,Glory,1989,R,97441,122,"Biography, Drama, History",78.0,7.8,120693,26.83
405,Boogie Nights,1997,R,118749,155,Drama,85.0,7.9,236176,26.40
406,The Wrestler,2008,R,1125849,109,"Drama, Sport",80.0,7.9,287536,26.24
407,Searching,2018,PG-13,7668870,102,"Drama, Mystery, Thriller",71.0,7.6,136376,26.02
408,Her,2013,R,1798709,126,"Drama, Romance, Sci-Fi",90.0,8.0,530801,25.57
409,Memento,2000,R,209144,113,"Mystery, Thriller",80.0,8.4,1110388,25.54
410,Serenity,2005,PG-13,379786,119,"Action, Adventure, Sci-Fi",74.0,7.8,281264,25.51
411,Ex Machina,2014,R,470752,108,"Drama, Sci-Fi, Thriller",78.0,7.7,467244,25.44
412,Boyhood,2014,R,1065073,165,Drama,100.0,7.9,332703,25.38
413,In the Name of the Father,1993,R,107207,133,"Biography, Drama",84.0,8.1,154549,25.01
414,Enter the Dragon,1973,R,70034,102,"Action, Crime, Drama",83.0,7.7,95235,25.00
415,Some Like It Hot,1959,Passed,53291,121,"Comedy, Music, Romance",98.0,8.2,240517,25.00
416,Gifted,2017,PG-13,4481414,101,Drama,60.0,7.6,97447,24.80
417,Thank You for Smoking,2005,R,427944,92,"Comedy, Drama",71.0,7.6,211804,24.79
418,Fearless,2006,PG-13,446059,104,"Action, Biography, Drama",70.0,7.6,72394,24.63
419,Fargo,1996,R,116282,98,"Crime, Drama, Thriller",85.0,8.1,607690,24.61
420,Sling Blade,1996,R,117666,135,Drama,84.0,8.0,86161,24.48
421,In the Heat of the Night,1967,Not Rated,61811,110,"Crime, Drama, Mystery",75.0,7.9,66805,24.38
422,Lord of War,2005,R,399295,122,"Action, Crime, Drama",62.0,7.6,291618,24.15
423,The Best Years of Our Lives,1946,Approved,36868,170,"Drama, Romance, War",93.0,8.0,56704,23.65
424,Hot Fuzz,2007,R,425112,121,"Action, Comedy, Mystery",81.0,7.8,458203,23.64
425,Hotel Rwanda,2004,PG-13,395169,121,"Biography, Drama, History",79.0,8.1,331349,23.53
426,Raging Bull,1980,R,81398,129,"Biography, Drama, Sport",89.0,8.2,317263,23.38
427,The Usual Suspects,1995,R,114814,106,"Crime, Mystery, Thriller",77.0,8.5,978064,23.34
428,The Iron Giant,1999,PG,129167,86,"Animation, Action, Adventure",85.0,8.0,169855,23.16
429,Match Point,2005,R,416320,124,"Drama, Romance, Thriller",72.0,7.6,204281,23.09
430,The Remains of the Day,1993,PG,107943,134,"Drama, Romance",84.0,7.8,64834,22.95
431,Being John Malkovich,1999,R,120601,113,"Comedy, Drama, Fantasy",90.0,7.7,308798,22.86
432,Lucky Number Slevin,2006,R,425210,110,"Crime, Drama, Thriller",53.0,7.7,297917,22.49
433,The Warriors,1979,R,80120,92,"Action, Crime, Thriller",65.0,7.6,92675,22.49
434,Magnolia,1999,R,175880,188,Drama,77.0,8.0,286653,22.46
435,The Lion in Winter,1968,PG,63227,134,"Biography, Drama, History",,7.9,28651,22.28
436,Adaptation.,2002,R,268126,115,"Comedy, Drama",83.0,7.7,176320,22.25
437,Pink Floyd: The Wall,1982,R,84503,95,"Drama, Fantasy, Music",47.0,8.1,75329,22.24
438,Empire of the Sun,1987,PG,92965,153,"Action, Drama, History",62.0,7.7,114190,22.24
439,Billy Elliot,2000,R,249462,110,"Drama, Music",74.0,7.7,125118,22.00
440,Il Postino,1994,PG,110877,108,"Biography, Comedy, Drama",81.0,7.7,33166,21.85
441,The Right Stuff,1983,PG,86197,193,"Adventure, Biography, Drama",91.0,7.8,55525,21.50
442,Fantastic Mr. Fox,2009,PG,432283,87,"Animation, Adventure, Comedy",83.0,7.9,195364,21.00
443,A Christmas Story,1983,PG,85334,94,"Comedy, Family",77.0,7.9,128122,20.61
444,Gone Baby Gone,2007,R,452623,114,"Crime, Drama, Mystery",72.0,7.6,247468,20.30
445,Baahubali 2: The Conclusion,2017,Not Rated,4849438,167,"Action, Drama",,8.2,73583,20.19
446,Monty Python's Life of Brian,1979,R,79470,94,Comedy,77.0,8.1,362735,20.05
447,La Dolce Vita,1960,Not Rated,53779,174,"Comedy, Drama",95.0,8.0,65467,19.52
448,Léon: The Professional,1994,R,110413,110,"Action, Crime, Drama",64.0,8.5,1018888,19.50
449,The Secret World of Arrietty,2010,G,1568921,94,"Animation, Adventure, Family",80.0,7.6,79011,19.20
450,The Apartment,1960,Approved,53604,125,"Comedy, Drama, Romance",94.0,8.3,161267,18.60
451,Frost/Nixon,2008,R,870111,122,"Biography, Drama, History",80.0,7.7,102229,18.59
452,Into the Wild,2007,R,758758,148,"Adventure, Biography, Drama",73.0,8.1,565281,18.35
453,Only the Brave,2017,PG-13,3829920,134,"Action, Biography, Drama",72.0,7.6,56371,18.34
454,Crimes and Misdemeanors,1989,PG-13,97123,104,"Comedy, Drama",77.0,7.9,54026,18.25
455,Call Me by Your Name,2017,R,5726616,132,"Drama, Romance",93.0,7.9,204569,18.10
456,The Perks of Being a Wallflower,2012,PG-13,1659337,103,"Drama, Romance",67.0,8.0,455873,17.74
457,Nebraska,2013,R,1821549,115,"Adventure, Comedy, Drama",87.0,7.7,111340,17.65
458,The Last King of Scotland,2006,R,455590,123,"Biography, Drama, History",74.0,7.7,173789,17.61
459,Cat on a Hot Tin Roof,1958,Not Rated,51459,108,Drama,84.0,8.0,44399,17.57
460,Wait Until Dark,1967,Not Rated,62467,108,Thriller,81.0,7.8,27421,17.55
461,The Big Lebowski,1998,R,118715,117,"Comedy, Crime, Sport",71.0,8.1,722011,17.50
462,A Bronx Tale,1993,R,106489,121,"Crime, Drama, Romance",80.0,7.8,126329,17.27
463,Eastern Promises,2007,R,765443,100,"Action, Crime, Drama",82.0,7.6,225485,17.11
464,Kung Fu Hustle,2004,R,373074,99,"Action, Comedy, Fantasy",78.0,7.7,125862,17.11
465,Rushmore,1998,R,128445,93,"Comedy, Drama, Romance",86.0,7.7,167333,17.11
466,The Farewell,2019,PG,8637428,100,"Comedy, Drama",89.0,7.6,47320,16.88
467,The Motorcycle Diaries,2004,R,318462,126,"Adventure, Biography, Drama",75.0,7.8,95909,16.76
468,Trainspotting,1996,R,117951,93,Drama,83.0,8.1,627907,16.50
469,21 Grams,2003,R,315733,124,"Crime, Drama, Thriller",70.0,7.6,222573,16.29
470,Cool Hand Luke,1967,GP,61512,127,"Crime, Drama",92.0,8.1,159695,16.22
471,The Day of the Jackal,1973,PG,69947,143,"Crime, Drama, Thriller",80.0,7.8,36908,16.06
472,The French Connection,1971,R,67116,104,"Action, Crime, Drama",94.0,7.7,108536,15.63
473,In America,2002,PG-13,298845,105,Drama,76.0,7.7,40222,15.54
474,About Time,2013,R,2194499,123,"Comedy, Drama, Fantasy",55.0,7.8,294410,15.32
475,Ponyo,2008,G,876563,101,"Animation, Adventure, Comedy",86.0,7.7,122323,15.09
476,American Psycho,2000,R,144084,101,"Comedy, Crime, Drama",64.0,7.6,480832,15.07
477,For a Few Dollars More,1965,R,59578,132,Western,74.0,8.3,229153,15.00
478,My Left Foot,1989,R,97937,103,"Biography, Drama",97.0,7.9,66965,14.74
479,Room,2015,R,3170832,118,"Drama, Thriller",86.0,8.1,363298,14.68
480,A Fistful of Dollars,1964,R,58461,99,"Action, Drama, Western",65.0,8.0,195139,14.50
481,Dark City,1998,R,118929,100,"Mystery, Sci-Fi, Thriller",66.0,7.6,186370,14.38
482,The Thing,1982,R,84787,109,"Horror, Mystery, Sci-Fi",57.0,8.1,365802,13.78
483,A Hard Day's Night,1964,G,58182,87,"Comedy, Music, Musical",96.0,7.6,39840,13.78
484,Letters from Iwo Jima,2006,R,498380,141,"Action, Adventure, Drama",89.0,7.9,152929,13.76
485,Warrior,2011,PG-13,1291584,140,"Action, Drama, Sport",71.0,8.2,431065,13.66
